id,name,category,type,latitude_value,longitude_value,country,city,route,,
1,Escuela Politécnica Nacional,A,Pregrado,-0.2101867,-78.4886912,Ecuador,Quito,Ladron de Guevera,,
2,Escuela Superior Politécnica del Litoral,A,Pregrado,-2.1481458,-79.9644885,Ecuador,Guayaquil,Vía Perimetral,,
3,Universidad San Francisco de Quito,A,Pregrado,-0.19689,-78.4357443,Ecuador,Quito,Diego de Robles,,
4,Universidad de Cuenca,A,Pregrado,-2.9008206,-79.0102536,Ecuador,Cuenca,Avenue Doce Abril,,
5,Universidad de las Fuerzas Armadas (ESPE),A,Pregrado,-0.3145357,-78.4436917,Ecuador,Sangolqui,None,,
6,Universidad de Especialidades Espíritu Santo,A,Pregrado,-2.1325098,-79.8654394,Ecuador,Samborondón,Avenida Samborondón,,
7,Facultad Latinoamericana de Ciencias Sociales,A,Postgrado,,,,,,,
8,Universidad Andina Simón Bolívar,A,Postgrado,,,,,,,
9,Escuela Superior Politécnica de Chimborazo,B,Pregrado,-1.6579361,-78.6763423,Ecuador,Riobamba,None,,
10,Pontificia Universidad Católica del Ecuador,B,Pregrado,-0.2093806,-78.49158,Ecuador,Quito,Vicente Ramón Roca,,
11,Universidad Casa Grande,B,Pregrado,-2.167428,-79.917963,Ecuador,Guayaquil,Ilanes,,
12,Universidad Católica de Santiago de Guayaquil,B,Pregrado,,,,,,,
13,Universidad Central del Ecuador,B,Pregrado,-0.2008062,-78.5020727,Ecuador,Quito,Avenida Universitaria,,
14,Universidad del Azuay,B,Pregrado,-2.9189772,-79.0019887,Ecuador,Cuenca,Avenue 24 de Mayo,,
15,Universidad Estatal de Milagro,B,Pregrado,-2.1505507,-79.6030337,Ecuador,Milagro,None,,
16,Universidad Nacional de Loja,B,Pregrado,-4.0329396,-79.2025477,Ecuador,Loja,Avenida PIO JARAMILLO ALVARADO,,
17,Universidad Particular Internacional SEK,B,Pregrado,-0.093204,-78.4849977,Ecuador,Quito,None,,
18,Universidad Politécnica Salesiana,B,Pregrado,-2.8863481,-78.9892684,Ecuador,Cuenca,Calle Vieja,,
19,Universidad Técnica de Ambato,B,Pregrado,-1.2690951,-78.6235598,Ecuador,Ambato,Avenida de Los Chasquis,,
20,Universidad Técnica del Norte,B,Pregrado,0.3581583,-78.1115408,Ecuador,Ibarra,Avenida 17 de Julio,,
21,Universidad Técnica Estatal de Quevedo,B,Pregrado,-1.0126968,-79.4695096,Ecuador,Quevedo,None,,
22,Universidad Técnica Particular de Loja,B,Pregrado,-3.9869567,-79.1993367,Ecuador,Loja,Calle París,,
23,Universidad Tecnológica Empresarial de Guayaquil,B,Pregrado,-2.166333,-79.9070513,Ecuador,Guayaquil,Guayacanes,,
24,Universidad Tecnológica Equinoccial,B,Pregrado,-0.1843794,-78.4933552,Ecuador,Quito,Bourgeois,,
25,Universidad Tecnológica Indoamérica,B,Pregrado,-1.269384,-78.639144,Ecuador,Ambato,Antonio Clavijo,,
26,Universidad de los Hemisferios,B,Pregrado,-0.1771166,-78.5047881,Ecuador,Quito,Juan Díaz,,
27,Universidad Estatal Amazónica,B,Pregrado,-1.4689575,-77.9959949,Ecuador,Puyo,Troncal Amazónica,,
28,Universidad Politécnica del Carchi,B,Pregrado,0.8048233,-77.7340027,Ecuador,Tulcán,Troncal de la Sierra,,
29,Universidad Iberoamericana,B,Pregrado,,,,,,,
30,Universidad Técnica de Manabí,B,Pregrado,-1.0441708,-80.4559117,Ecuador,Portoviejo,Avenida Jose Maria Urbina,,
31,Universidad de las Américas,B,Pregrado,,,,,,,
32,Universidad Internacional del Ecuador,B,Pregrado,-0.244794,-78.471181,Ecuador,Quito,None,,
33,Universidad de Guayaquil,B,Pregrado,,,,,,,
34,Universidad Técnica de Machala,B,Pregrado,-3.2454685,-79.9650827,Ecuador,Machala,None,,
